Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
lamp1,,,,,,,4.61927366,50.66885990,178.120,Global,0.175,0.150,0.439,0.231,2.074,m,SINGLE,NONE,2026-03-11 11:55:32.0 UTC+01:00,2026-03-11 11:55:37.0 UTC+01:00,26,1.7,2.0,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
arbre1,,,,,,,4.61920632,50.66888605,178.554,Global,0.171,0.171,0.370,0.242,2.074,m,SINGLE,NONE,2026-03-11 11:56:26.2 UTC+01:00,2026-03-11 11:56:31.2 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
arbre2,,,,,,,4.61919972,50.66888303,178.509,Global,0.180,0.170,0.370,0.248,2.074,m,SINGLE,NONE,2026-03-11 11:56:43.6 UTC+01:00,2026-03-11 11:56:48.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
arbre3,,,,,,,4.61919387,50.66888188,178.796,Global,0.143,0.159,0.363,0.213,2.074,m,SINGLE,NONE,2026-03-11 11:57:04.6 UTC+01:00,2026-03-11 11:57:09.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier1.1,,,,,,,4.61927270,50.66893184,179.019,Global,0.125,0.132,0.280,0.181,2.074,m,SINGLE,NONE,2026-03-11 11:58:13.6 UTC+01:00,2026-03-11 11:58:18.6 UTC+01:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier1.2,,,,,,,4.61930797,50.66893276,178.907,Global,0.120,0.134,0.300,0.180,2.074,m,SINGLE,NONE,2026-03-11 11:58:38.8 UTC+01:00,2026-03-11 11:58:43.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier1.3,,,,,,,4.61930593,50.66895090,177.641,Global,0.152,0.141,0.336,0.208,2.074,m,SINGLE,NONE,2026-03-11 11:59:02.4 UTC+01:00,2026-03-11 11:59:07.4 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier1.4,,,,,,,4.61926435,50.66894945,177.410,Global,0.152,0.152,0.332,0.215,2.074,m,SINGLE,NONE,2026-03-11 11:59:25.2 UTC+01:00,2026-03-11 11:59:30.2 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
lamp2,,,,,,,4.61925271,50.66895423,177.007,Global,0.144,0.140,0.312,0.201,2.074,m,SINGLE,NONE,2026-03-11 11:59:54.2 UTC+01:00,2026-03-11 11:59:59.2 UTC+01:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier2.1,,,,,,,4.61926739,50.66896075,177.514,Global,0.141,0.140,0.300,0.198,2.074,m,SINGLE,NONE,2026-03-11 12:00:16.8 UTC+01:00,2026-03-11 12:00:21.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier2.2,,,,,,,4.61930069,50.66896585,177.631,Global,0.138,0.135,0.301,0.193,2.074,m,SINGLE,NONE,2026-03-11 12:00:38.4 UTC+01:00,2026-03-11 12:00:43.4 UTC+01:00,25,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier2.3,,,,,,,4.61929479,50.66898985,176.738,Global,0.132,0.133,0.330,0.188,2.074,m,SINGLE,NONE,2026-03-11 12:01:01.8 UTC+01:00,2026-03-11 12:01:06.8 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier2.4,,,,,,,4.61925785,50.66898559,176.604,Global,0.164,0.144,0.347,0.218,2.074,m,SINGLE,NONE,2026-03-11 12:01:22.8 UTC+01:00,2026-03-11 12:01:27.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
rocher1,,,,,,,4.61935576,50.66902497,178.069,Global,0.140,0.141,0.414,0.199,2.074,m,SINGLE,NONE,2026-03-11 12:02:02.0 UTC+01:00,2026-03-11 12:02:07.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
rocher2,,,,,,,4.61939351,50.66902454,178.200,Global,0.143,0.132,0.385,0.195,2.074,m,SINGLE,NONE,2026-03-11 12:02:26.0 UTC+01:00,2026-03-11 12:02:31.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
rocher3,,,,,,,4.61939607,50.66903942,177.818,Global,0.133,0.134,0.360,0.189,2.074,m,SINGLE,NONE,2026-03-11 12:02:49.4 UTC+01:00,2026-03-11 12:02:54.4 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
rocher4,,,,,,,4.61935944,50.66903946,177.910,Global,0.141,0.130,0.395,0.192,2.074,m,SINGLE,NONE,2026-03-11 12:03:15.6 UTC+01:00,2026-03-11 12:03:20.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
lamp3,,,,,,,4.61924400,50.66906571,176.920,Global,0.160,0.160,0.423,0.227,2.074,m,SINGLE,NONE,2026-03-11 12:03:54.2 UTC+01:00,2026-03-11 12:03:59.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier3.1,,,,,,,4.61924971,50.66907885,177.104,Global,0.131,0.151,0.382,0.200,2.074,m,SINGLE,NONE,2026-03-11 12:04:19.0 UTC+01:00,2026-03-11 12:04:24.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier3.2,,,,,,,4.61929101,50.66908105,177.284,Global,0.120,0.140,0.364,0.185,2.074,m,SINGLE,NONE,2026-03-11 12:04:40.6 UTC+01:00,2026-03-11 12:04:45.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier3.3,,,,,,,4.61928868,50.66910161,176.206,Global,0.120,0.141,0.360,0.185,2.074,m,SINGLE,NONE,2026-03-11 12:05:01.4 UTC+01:00,2026-03-11 12:05:06.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier3.4,,,,,,,4.61924875,50.66910024,175.710,Global,0.132,0.141,0.402,0.193,2.074,m,SINGLE,NONE,2026-03-11 12:05:28.6 UTC+01:00,2026-03-11 12:05:33.6 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier4.1,,,,,,,4.61924778,50.66911416,175.891,Global,0.134,0.140,0.418,0.194,2.074,m,SINGLE,NONE,2026-03-11 12:05:49.2 UTC+01:00,2026-03-11 12:05:54.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier4.2,,,,,,,4.61929001,50.66911526,175.744,Global,0.140,0.150,0.480,0.205,2.074,m,SINGLE,NONE,2026-03-11 12:06:09.8 UTC+01:00,2026-03-11 12:06:14.8 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier4.3,,,,,,,4.61928474,50.66913614,174.042,Global,0.141,0.149,0.498,0.205,2.074,m,SINGLE,NONE,2026-03-11 12:06:34.8 UTC+01:00,2026-03-11 12:06:39.8 UTC+01:00,26,1.6,2.0,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
escalier4.4,,,,,,,4.61924122,50.66913328,173.704,Global,0.140,0.140,0.500,0.198,2.074,m,SINGLE,NONE,2026-03-11 12:06:52.4 UTC+01:00,2026-03-11 12:06:57.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
