Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,,4.61940821,50.66886872,181.065,Global,0.267,0.358,0.641,0.446,2.074,m,SINGLE,NONE,2026-03-11 11:04:14.0 UTC+01:00,2026-03-11 11:04:19.0 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
2,,,,,,,4.61941701,50.66887728,182.485,Global,0.202,0.260,0.492,0.329,2.074,m,SINGLE,NONE,2026-03-11 11:05:39.6 UTC+01:00,2026-03-11 11:05:44.6 UTC+01:00,24,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
3,,,,,,,4.61943197,50.66890457,182.816,Global,0.181,0.313,0.534,0.362,2.074,m,SINGLE,NONE,2026-03-11 11:06:30.8 UTC+01:00,2026-03-11 11:06:35.8 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
4,,,,,,,4.61942761,50.66893408,182.153,Global,0.161,0.226,0.427,0.277,2.074,m,SINGLE,NONE,2026-03-11 11:06:53.2 UTC+01:00,2026-03-11 11:06:58.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
5,,,,,,,4.61938982,50.66893335,180.524,Global,0.160,0.197,0.371,0.254,2.074,m,SINGLE,NONE,2026-03-11 11:07:26.8 UTC+01:00,2026-03-11 11:07:31.8 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
6,,,,,,,4.61938767,50.66891244,180.400,Global,0.178,0.202,0.386,0.270,2.074,m,SINGLE,NONE,2026-03-11 11:07:49.0 UTC+01:00,2026-03-11 11:07:54.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
7,,,,,,,4.61938116,50.66888389,181.035,Global,0.213,0.226,0.449,0.310,2.074,m,SINGLE,NONE,2026-03-11 11:08:12.0 UTC+01:00,2026-03-11 11:08:17.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
8,,,,,,,4.61937526,50.66885885,181.543,Global,0.223,0.224,0.461,0.316,2.074,m,SINGLE,NONE,2026-03-11 11:08:32.8 UTC+01:00,2026-03-11 11:08:37.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
9,,,,,,,4.61934797,50.66885340,181.428,Global,0.205,0.213,0.450,0.295,2.074,m,SINGLE,NONE,2026-03-11 11:08:57.0 UTC+01:00,2026-03-11 11:09:02.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
10,,,,,,,4.61934236,50.66888420,181.578,Global,0.150,0.182,0.370,0.236,2.074,m,SINGLE,NONE,2026-03-11 11:09:32.4 UTC+01:00,2026-03-11 11:09:37.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
11,,,,,,,4.61934137,50.66890375,181.767,Global,0.160,0.200,0.375,0.256,2.074,m,SINGLE,NONE,2026-03-11 11:10:04.0 UTC+01:00,2026-03-11 11:10:09.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
12,,,,,,,4.61933444,50.66892765,181.704,Global,0.156,0.180,0.354,0.238,2.074,m,SINGLE,NONE,2026-03-11 11:10:21.6 UTC+01:00,2026-03-11 11:10:26.6 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
13,,,,,,,4.61926078,50.66884774,181.128,Global,0.161,0.180,0.390,0.242,2.074,m,SINGLE,NONE,2026-03-11 11:11:18.8 UTC+01:00,2026-03-11 11:11:23.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
14,,,,,,,4.61922199,50.66885048,182.204,Global,0.166,0.221,0.440,0.276,2.074,m,SINGLE,NONE,2026-03-11 11:11:42.6 UTC+01:00,2026-03-11 11:11:47.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
