Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
lamp1;4,61929246;50,6688973;190,804;Global;0,007;0,008;0,021;0,01;2,074;m;FIX;NONE;2026-03-11 11:55:32,0 UTC+01:00;2026-03-11 11:55:37,0 UTC+01:00;26;1,7;2;Global CS;Reach RS2;824302D372E1EC90
arbre1;4,61923158;50,6689234;190,878;Global;0,007;0,005;0,015;0,008;2,074;m;FIX;NONE;2026-03-11 11:56:26,2 UTC+01:00;2026-03-11 11:56:31,2 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
arbre2;4,61922503;50,66892091;190,849;Global;0,006;0,005;0,014;0,008;2,074;m;FIX;NONE;2026-03-11 11:56:43,6 UTC+01:00;2026-03-11 11:56:48,6 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
arbre3;4,61921958;50,66891874;190,911;Global;0,007;0,006;0,024;0,009;2,074;m;FIX;NONE;2026-03-11 11:57:04,6 UTC+01:00;2026-03-11 11:57:09,6 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
escalier1,1;4,61929095;50,66896859;190,851;Global;0,005;0,007;0,013;0,008;2,074;m;FIX;NONE;2026-03-11 11:58:13,6 UTC+01:00;2026-03-11 11:58:18,6 UTC+01:00;26;1;1,2;Global CS;Reach RS2;824302D372E1EC90
escalier1,2;4,61933162;50,66897058;190,87;Global;0,006;0,007;0,02;0,009;2,074;m;FIX;NONE;2026-03-11 11:58:38,8 UTC+01:00;2026-03-11 11:58:43,8 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
escalier1,3;4,61932952;50,66899048;189,936;Global;0,007;0,007;0,016;0,01;2,074;m;FIX;NONE;2026-03-11 11:59:02,4 UTC+01:00;2026-03-11 11:59:07,4 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
escalier1,4;4,61928832;50,66898874;189,928;Global;0,006;0,006;0,018;0,009;2,074;m;FIX;NONE;2026-03-11 11:59:25,2 UTC+01:00;2026-03-11 11:59:30,2 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
lamp2;4,61927789;50,66899722;189,933;Global;0,005;0,005;0,018;0,007;2,074;m;FIX;NONE;2026-03-11 11:59:54,2 UTC+01:00;2026-03-11 11:59:59,2 UTC+01:00;26;1,1;1,2;Global CS;Reach RS2;824302D372E1EC90
escalier2,1;4,61928655;50,66900505;189,917;Global;0,006;0,007;0,02;0,009;2,074;m;FIX;NONE;2026-03-11 12:00:16,8 UTC+01:00;2026-03-11 12:00:21,8 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
escalier2,2;4,61932707;50,6690068;189,919;Global;0,006;0,006;0,014;0,008;2,074;m;FIX;NONE;2026-03-11 12:00:38,4 UTC+01:00;2026-03-11 12:00:43,4 UTC+01:00;25;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
escalier2,3;4,61932468;50,66902777;189,031;Global;0,006;0,005;0,013;0,008;2,074;m;FIX;NONE;2026-03-11 12:01:01,8 UTC+01:00;2026-03-11 12:01:06,8 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
escalier2,4;4,61928448;50,66902628;189,051;Global;0,008;0,006;0,017;0,01;2,074;m;FIX;NONE;2026-03-11 12:01:22,8 UTC+01:00;2026-03-11 12:01:27,8 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
rocher1;4,61938307;50,66906329;189,185;Global;0,007;0,007;0,015;0,01;2,074;m;FIX;NONE;2026-03-11 12:02:02,0 UTC+01:00;2026-03-11 12:02:07,0 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
rocher2;4,61941563;50,66906379;189,157;Global;0,005;0,005;0,014;0,007;2,074;m;FIX;NONE;2026-03-11 12:02:26,0 UTC+01:00;2026-03-11 12:02:31,0 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
rocher3;4,61941505;50,66907824;189,134;Global;0,006;0,007;0,015;0,009;2,074;m;FIX;NONE;2026-03-11 12:02:49,4 UTC+01:00;2026-03-11 12:02:54,4 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
rocher4;4,61938224;50,66907755;189,171;Global;0,005;0,006;0,015;0,008;2,074;m;FIX;NONE;2026-03-11 12:03:15,6 UTC+01:00;2026-03-11 12:03:20,6 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
lamp3;4,61926771;50,66910593;188,767;Global;0,006;0,006;0,027;0,009;2,074;m;FIX;NONE;2026-03-11 12:03:54,2 UTC+01:00;2026-03-11 12:03:59,2 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
escalier3,1;4,61927411;50,66911946;188,989;Global;0,007;0,006;0,018;0,01;2,074;m;FIX;NONE;2026-03-11 12:04:19,0 UTC+01:00;2026-03-11 12:04:24,0 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
escalier3,2;4,61931439;50,66911994;189,031;Global;0,006;0,005;0,016;0,008;2,074;m;FIX;NONE;2026-03-11 12:04:40,6 UTC+01:00;2026-03-11 12:04:45,6 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
escalier3,3;4,61931113;50,66914168;188,309;Global;0,007;0,007;0,026;0,01;2,074;m;FIX;NONE;2026-03-11 12:05:01,4 UTC+01:00;2026-03-11 12:05:06,4 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
escalier3,4;4,61927181;50,66914001;188,153;Global;0,008;0,007;0,019;0,01;2,074;m;FIX;NONE;2026-03-11 12:05:28,6 UTC+01:00;2026-03-11 12:05:33,6 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
escalier4,1;4,61926994;50,6691552;188,141;Global;0,005;0,005;0,018;0,007;2,074;m;FIX;NONE;2026-03-11 12:05:49,2 UTC+01:00;2026-03-11 12:05:54,2 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
escalier4,2;4,61930967;50,66915621;188,162;Global;0,006;0,007;0,03;0,009;2,074;m;FIX;NONE;2026-03-11 12:06:09,8 UTC+01:00;2026-03-11 12:06:14,8 UTC+01:00;26;1,5;1,8;Global CS;Reach RS2;824302D372E1EC90
escalier4,3;4,61930764;50,66917776;187,231;Global;0,005;0,008;0,022;0,009;2,074;m;FIX;NONE;2026-03-11 12:06:34,8 UTC+01:00;2026-03-11 12:06:39,8 UTC+01:00;26;1,6;2;Global CS;Reach RS2;824302D372E1EC90
escalier4,4;4,6192683;50,66917597;187,248;Global;0,005;0,005;0,025;0,007;2,074;m;FIX;NONE;2026-03-11 12:06:52,4 UTC+01:00;2026-03-11 12:06:57,4 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
ramp4,2;4,61928707;50,66917732;187,258;Global;0,005;0,006;0,021;0,008;2,074;m;FIX;NONE;2026-03-11 12:07:43,6 UTC+01:00;2026-03-11 12:07:48,6 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
