Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
1;4,61943954;50,66889301;191,057;Global;0,01;0,014;0,029;0,017;2,074;m;FIX;NONE;2026-03-11 11:04:14,0 UTC+01:00;2026-03-11 11:04:19,0 UTC+01:00;26;1,6;1,9;Global CS;Reach RS2;824302D372E1EC90
2;#NOM?;#NOM?;#NOM?;Global;;;;;2,074;m;SINGLE;NONE;2026-03-11 11:05:39,6 UTC+01:00;2026-03-11 11:05:44,6 UTC+01:00;24;1,5;1,8;Global CS;Reach RS2;824302D372E1EC90
3;#NOM?;#NOM?;#NOM?;Global;;;;;2,074;m;SINGLE;NONE;2026-03-11 11:06:30,8 UTC+01:00;2026-03-11 11:06:35,8 UTC+01:00;26;1,6;1,9;Global CS;Reach RS2;824302D372E1EC90
4;4,61945864;50,66896128;190,873;Global;0,005;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:06:53,2 UTC+01:00;2026-03-11 11:06:58,2 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
5;4,61942006;50,66896342;190,846;Global;0,005;0,008;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:07:26,8 UTC+01:00;2026-03-11 11:07:31,8 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
6;4,61941568;50,66894198;190,919;Global;0,005;0,008;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:07:49,0 UTC+01:00;2026-03-11 11:07:54,0 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
7;4,61941194;50,66891767;190,878;Global;0,006;0,007;0,014;0,009;2,074;m;FIX;NONE;2026-03-11 11:08:12,0 UTC+01:00;2026-03-11 11:08:17,0 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
8;4,61941061;50,66889366;190,891;Global;0,008;0,007;0,015;0,01;2,074;m;FIX;NONE;2026-03-11 11:08:32,8 UTC+01:00;2026-03-11 11:08:37,8 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
9;4,61937587;50,66888619;190,82;Global;0,005;0,008;0,015;0,009;2,074;m;FIX;NONE;2026-03-11 11:08:57,0 UTC+01:00;2026-03-11 11:09:02,0 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
10;4,61936994;50,66891314;190,875;Global;0,005;0,008;0,014;0,01;2,074;m;FIX;NONE;2026-03-11 11:09:32,4 UTC+01:00;2026-03-11 11:09:37,4 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
11;4,61936486;50,66893555;190,88;Global;0,004;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:10:04,0 UTC+01:00;2026-03-11 11:10:09,0 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
12;4,61935952;50,66896115;190,806;Global;0,005;0,006;0,011;0,008;2,074;m;FIX;NONE;2026-03-11 11:10:21,6 UTC+01:00;2026-03-11 11:10:26,6 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
13;4,61927845;50,66887959;190,667;Global;0,006;0,007;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:11:18,8 UTC+01:00;2026-03-11 11:11:23,8 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
14;4,61923509;50,66888099;190,815;Global;0,005;0,007;0,014;0,009;2,074;m;FIX;NONE;2026-03-11 11:11:42,6 UTC+01:00;2026-03-11 11:11:47,6 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
15;4,61919063;50,66888209;190,922;Global;0,005;0,006;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:12:05,8 UTC+01:00;2026-03-11 11:12:10,8 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
